Category,Question,Answer
Fees & Scholarships,Fee for BS in Civil Engineering? Please.,"For BS in Civil Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,I would like to know how much percentage is required for Mechanical Engineering PhD? - thanks in advance!,The merit criteria for PhD in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I would like to know how much percentage is required for Polymer & Petrochemical Engineering ME? - thanks in advance!,The merit criteria for ME in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, merit criteria for Architecture? Appreciate it.",Admission to Architecture (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, fee for MS in Biomedical Engineering? (I need this urgently)","For MS in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,"Tell me, where is the Admissions Office?",The Admissions Office is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Fees & Scholarships,"Hi, what is the fee structure for Metallurgical Engineering? Please.","For BE in Metallurgical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Fee for ME in Environmental Engineering? Appreciate it.,"For ME in Environmental Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Could you please explain merit criteria for Electrical Engineering? Thanks.,Admission to Electrical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Could you please explain location of Polymer & Petrochemical Engineering? Appreciate it.,You can find the Polymer & Petrochemical Engineering at the NED Main Campus.
Fees & Scholarships,Could you please explain how much does Environmental Engineering cost? Thanks.,"For ME in Environmental Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: deadline for BE admission? - thanks in advance!,Admissions for BE typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Academics,"Hey CampusBrain, location of Electrical Engineering? - thanks in advance!",The Electrical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,I'm looking for info on how much percentage is required for Polymer & Petrochemical Engineering BE? - thanks in advance!,The merit criteria for BE in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Could you please explain who is the chairperson of Chemistry? (I need this urgently),The details of the Chairperson for Chemistry are listed on the departmental sub-domain of the NED website.
Academics,Can you tell me location of Petroleum Engineering? Please.,You can find the Petroleum Engineering at the NED Main Campus.
Admissions,"Tell me, how much percentage is required for Urban & Infrastructure Engineering MS?",The merit criteria for MS in Urban & Infrastructure Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,"Tell me, what are the timings for Registrar Office?","You can visit the Registrar Office during standard university working hours, Monday to Friday."
Facilities,I'm looking for info on when does IT Department open? Appreciate it.,"You can visit the IT Department during standard university working hours, Monday to Friday."
Admissions,Do you know how much percentage is required for Electronic Engineering MS? Please.,Admission to Electronic Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hi, deadline for BE admission? Please.",The schedule for BE admissions is announced on the official website. It generally starts in the summer.
Admissions,What is the merit for BE in Mechanical Engineering? Appreciate it.,Admission to Mechanical Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Quick question: how much percentage is required for Computer Systems Engineering ME? Please.,Admission to Computer Systems Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,"Tell me, what are the timings for Sports Complex? Appreciate it.",The Sports Complex generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Fees & Scholarships,"Hi, fee for PhD in Biomedical Engineering? ASAP.","For PhD in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Are there scholarships for Food Engineering? Appreciate it.,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,"Hey CampusBrain, how much percentage is required for Environmental Engineering PhD? (I need this urgently)",Admission to Environmental Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Please guide me about what are the timings for Sports Complex? ASAP.,"You can visit the Sports Complex during standard university working hours, Monday to Friday."
Admissions,Closing merit for Food Engineering? ASAP.,The merit criteria for BS in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,Could you please explain closing time for Medical Centre?,The Medical Centre generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Fees & Scholarships,Please guide me about fee for ME in Biomedical Engineering? (I need this urgently),The fee structure for Biomedical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Please guide me about how much does Urban & Infrastructure Engineering cost? - thanks in advance!,"For ME in Urban & Infrastructure Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: what is the merit for MS in Electrical Engineering?,The merit criteria for MS in Electrical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, what is the merit for BS in Biomedical Engineering?",The merit criteria for BS in Biomedical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Could you please explain fee for MS in Automotive Engineering? ASAP.,The fee structure for Automotive Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,I'm looking for info on fee for PhD in Polymer & Petrochemical Engineering? Thanks.,The fee structure for Polymer & Petrochemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Quick question: who is the chairperson of Environmental Engineering? - thanks in advance!,"To contact the HOD of Environmental Engineering, please visit the specific department's page on neduet.edu.pk."
Facilities,I'm looking for info on what are the timings for Main Cafeteria? Please.,"You can visit the Main Cafeteria during standard university working hours, Monday to Friday."
Admissions,I would like to know how much percentage is required for Electronic Engineering BS? - thanks in advance!,The merit criteria for BS in Electronic Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Quick question: merit criteria for Mechanical Engineering? ASAP.,The merit criteria for BE in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about fee for ME in Food Engineering? Please.,The fee structure for Food Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Tell me, fee for ME in Mathematics? Thanks.",The fee structure for Mathematics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hey CampusBrain, how to find Chemistry?",The Chemistry department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,I'm looking for info on chairperson contact for Textile Engineering? ASAP.,The details of the Chairperson for Textile Engineering are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,Quick question: fee for ME in Civil Engineering? ASAP.,"For ME in Civil Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Can you tell me chairperson contact for English? Appreciate it.,The details of the Chairperson for English are listed on the departmental sub-domain of the NED website.
Admissions,Can you tell me how much percentage is required for Chemical Engineering BE? Appreciate it.,The merit criteria for BE in Chemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I'm looking for info on how much percentage is required for English BE? Can you help?,The merit criteria for BE in English depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Could you please explain location of Chemical Engineering? Thanks.,You can find the Chemical Engineering at the NED Main Campus.
Admissions,"Hey CampusBrain, what is the merit for MS in Textile Engineering? - thanks in advance!",The merit criteria for MS in Textile Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I'm looking for info on closing merit for Mechanical Engineering?,The merit criteria for MS in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Do you know what is the merit for PhD in Petroleum Engineering? Please.,Admission to Petroleum Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Please guide me about what is the fee structure for Petroleum Engineering? ASAP.,"For BS in Petroleum Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Do you know is the admission open for MS? Thanks.,The schedule for MS admissions is announced on the official website. It generally starts in the summer.
Admissions,I'm looking for info on what is the merit for MS in English? Can you help?,The merit criteria for MS in English depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Fee for PhD in Automotive Engineering? - thanks in advance!,The fee structure for Automotive Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,"Hi, location of Main Cafeteria?",You will find the Main Cafeteria clearly signposted at the NED Main Campus.
Fees & Scholarships,I'm looking for info on are there scholarships for Telecommunications Engineering? Thanks.,Scholarships for Telecommunications Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Academics,Where is the Chemistry department located? (I need this urgently),The Chemistry department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Could you please explain what is the merit for ME in Chemistry? ASAP.,The merit criteria for ME in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Please guide me about how much percentage is required for Civil Engineering BS? ASAP.,Admission to Civil Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Tell me, start date for MS admissions? - thanks in advance!",Admissions for MS typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Fees & Scholarships,Please guide me about what is the fee structure for English? - thanks in advance!,The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Can you tell me what is the merit for MS in Textile Engineering? Please.,The merit criteria for MS in Textile Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about fee for BS in Mechanical Engineering? Thanks.,"For BS in Mechanical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,I'm looking for info on how much percentage is required for Telecommunications Engineering MS? - thanks in advance!,Admission to Telecommunications Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,"Tell me, who is the chairperson of Metallurgical Engineering? (I need this urgently)","To contact the HOD of Metallurgical Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,"Hello, merit criteria for Electrical Engineering? Appreciate it.",Admission to Electrical Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Do you know who is the chairperson of Environmental Engineering? (I need this urgently),The details of the Chairperson for Environmental Engineering are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,"Hello, what is the fee structure for Chemistry? (I need this urgently)","For PhD in Chemistry, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Could you please explain directions for Medical Centre? ASAP.,The Medical Centre is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,Can you tell me how much percentage is required for Computer Systems Engineering ME? Can you help?,The merit criteria for ME in Computer Systems Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,I would like to know fee for BE in English? ASAP.,The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,I would like to know how to find Mathematics?,The Mathematics department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,Could you please explain fee for MS in Telecommunications Engineering? - thanks in advance!,The fee structure for Telecommunications Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,"Hey CampusBrain, when does IT Department open? (I need this urgently)","You can visit the IT Department during standard university working hours, Monday to Friday."
Academics,Quick question: where is the Automotive Engineering department located? ASAP.,You can find the Automotive Engineering at the NED Main Campus.
Academics,Could you please explain location of Architecture?,The Architecture department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,"Hi, how much percentage is required for Materials Engineering BS? Appreciate it.",Admission to Materials Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, fee for ME in Mathematics? (I need this urgently)",The fee structure for Mathematics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Hey CampusBrain, fee for ME in Environmental Engineering? - thanks in advance!",The fee structure for Environmental Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,How do I go to Transport Office? Can you help?,The Transport Office is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Academics,Quick question: directions to Chemistry building? Appreciate it.,You can find the Chemistry at the NED Main Campus.
Fees & Scholarships,Do you know fee for MS in Polymer & Petrochemical Engineering? Appreciate it.,"For MS in Polymer & Petrochemical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,I would like to know what are the timings for Admissions Office? (I need this urgently),"You can visit the Admissions Office during standard university working hours, Monday to Friday."
Facilities,Do you know how do I go to Student Affairs Directorate? Please.,The Student Affairs Directorate is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Academics,Quick question: HOD of Electronic Engineering? Please.,The details of the Chairperson for Electronic Engineering are listed on the departmental sub-domain of the NED website.
Academics,Do you know where is the Polymer & Petrochemical Engineering department located? (I need this urgently),The Polymer & Petrochemical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,"Hi, fee for ME in Chemistry? ASAP.",The fee structure for Chemistry varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Quick question: what is the fee structure for Physics? Thanks.,The fee structure for Physics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hi, how much percentage is required for Food Engineering PhD? - thanks in advance!",The merit criteria for PhD in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,"Hi, who is the chairperson of Urban & Infrastructure Engineering? - thanks in advance!",The details of the Chairperson for Urban & Infrastructure Engineering are listed on the departmental sub-domain of the NED website.
Admissions,Can you tell me what is the merit for BS in Chemistry? (I need this urgently),Admission to Chemistry (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Tell me, what is the merit for ME in Software Engineering? Appreciate it.",The merit criteria for ME in Software Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Do you know what is the merit for BS in English? (I need this urgently),Admission to English (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,How much percentage is required for Polymer & Petrochemical Engineering BS? Please.,Admission to Polymer & Petrochemical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Please guide me about directions for Controller of Examinations? Thanks.,The Controller of Examinations is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,"Hi, closing merit for Telecommunications Engineering? Please.",The merit criteria for PhD in Telecommunications Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,"Hey CampusBrain, when does Controller of Examinations open? ASAP.","You can visit the Controller of Examinations during standard university working hours, Monday to Friday."
Facilities,I'm looking for info on is IT Department open on weekends? Thanks.,"You can visit the IT Department during standard university working hours, Monday to Friday."
Academics,"Hello, who is the chairperson of Textile Engineering? - thanks in advance!",The details of the Chairperson for Textile Engineering are listed on the departmental sub-domain of the NED website.
Admissions,Quick question: how much percentage is required for Metallurgical Engineering MS? Can you help?,The merit criteria for MS in Metallurgical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Fee for MS in Metallurgical Engineering?,The fee structure for Metallurgical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hello, directions to Chemistry building?",The Chemistry department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Facilities,Where is the Sports Complex? Please.,You will find the Sports Complex clearly signposted at the NED Main Campus.
Academics,Do you know how to find Textile Engineering? Please.,The Textile Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Facilities,Could you please explain when does Student Affairs Directorate open? Thanks.,"You can visit the Student Affairs Directorate during standard university working hours, Monday to Friday."
Admissions,Quick question: what is the merit for BS in Automotive Engineering? (I need this urgently),Admission to Automotive Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,I would like to know where is the Chemistry department located? Please.,You can find the Chemistry at the NED Main Campus.
Academics,"Hi, who is the chairperson of Civil Engineering? Can you help?",The details of the Chairperson for Civil Engineering are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,"Hello, fee for MS in Civil Engineering?",The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hello, what is the merit for MS in Chemistry? ASAP.",Admission to Chemistry (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hey CampusBrain, what is the fee structure for Electronic Engineering? Thanks.","For BE in Electronic Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Please guide me about merit criteria for Physics? Please.,Admission to Physics (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Can you tell me how much does English cost? Can you help?,"For PhD in English, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,I would like to know fee for MS in Food Engineering? (I need this urgently),The fee structure for Food Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Hi, fee for PhD in Electrical Engineering? Can you help?",The fee structure for Electrical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,I'm looking for info on are there scholarships for Software Engineering? (I need this urgently),Scholarships for Software Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Facilities,"Tell me, is Admissions Office open on weekends? ASAP.",The Admissions Office generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Fees & Scholarships,I would like to know financial aid for BE students?,Scholarships for Chemistry students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,Can you tell me fee for BS in Urban & Infrastructure Engineering?,The fee structure for Urban & Infrastructure Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Please guide me about what is the merit for BS in Automotive Engineering? Please.,Admission to Automotive Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,I'm looking for info on is Controller of Examinations open on weekends? ASAP.,"You can visit the Controller of Examinations during standard university working hours, Monday to Friday."
Academics,Do you know HOD of Chemical Engineering?,"To contact the HOD of Chemical Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,"Hey CampusBrain, what is the merit for PhD in Materials Engineering? ASAP.",Admission to Materials Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Can you tell me how do I go to Medical Centre? ASAP.,The Medical Centre is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,I would like to know what is the merit for BE in Metallurgical Engineering? ASAP.,The merit criteria for BE in Metallurgical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, how much percentage is required for Computer Systems Engineering BE? Please.",The merit criteria for BE in Computer Systems Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I'm looking for info on what is the merit for BS in Metallurgical Engineering?,Admission to Metallurgical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, what is the fee structure for Software Engineering? Can you help?","For PhD in Software Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,I'm looking for info on what is the merit for BE in Petroleum Engineering? Appreciate it.,The merit criteria for BE in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hey CampusBrain, how much percentage is required for Chemical Engineering PhD? Thanks.",Admission to Chemical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Tell me, how to apply for scholarships? Can you help?",Scholarships for Physics students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,Fee for BE in Textile Engineering? Can you help?,"For BE in Textile Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hello, are there scholarships for Biomedical Engineering? - thanks in advance!",Scholarships for Biomedical Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,I'm looking for info on are there scholarships for Electrical Engineering? Appreciate it.,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,Can you tell me how much percentage is required for Electrical Engineering ME? ASAP.,Admission to Electrical Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Fee for BE in Materials Engineering? ASAP.,"For BE in Materials Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,I would like to know fee for ME in Electronic Engineering? Can you help?,"For ME in Electronic Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Hi, how much percentage is required for Telecommunications Engineering PhD? Appreciate it.",Admission to Telecommunications Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hello, how much percentage is required for Physics ME? Appreciate it.",The merit criteria for ME in Physics depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, how much percentage is required for Environmental Engineering BS?",Admission to Environmental Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
